;Nome;Ano;Tempo;Nota
161;Yeh Meri Family;2018– ;17 episódios;9,0
162;Yes Minister;1980–1984;22 episódios;8,6
163;Demon Slayer: Kimetsu no Yaiba;2019– ;69 episódios;8,6
164;Justiça Jovem;2010–2023;102 episódios;8,6
165;Dopesick;2021;8 episódios;8,6
166;Grandes Momentos da Segunda Guerra em Cores;2019;10 episódios;8,7
167;Planeta dos Abutres;2023;12 episódios;8,7
168;O Urso;2022– ;28 episódios;8,6
169;The Newsroom;2012–2014;25 episódios;8,6
170;Yellowstone;2018– ;53 episódios;8,7
171;QI;2003– ;341 episódios;8,6
172;Boardwalk Empire: O Império do Contrabando;2010–2014;56 episódios;8,6
173;Justified;2010–2015;78 episódios;8,6
174;Chaves;1972–1983;357 episódios;8,7
175;Le Bureau des Légendes;2015–2020;50 episódios;8,7
176;O Show do Pernalonga;1960–1975;78 episódios;8,6
177;Homicídio;1993–1999;122 episódios;8,7
178;A Maldição da Residência Hill;2018;10 episódios;8,5
179;O Que Fazemos nas Sombras;2019–2024;51 episódios;8,6
180;Dragon Ball;1986–1989;153 episódios;8,5
181;Liga da Justiça;2001–2004;52 episódios;8,6
182;Os Irmãos Aventura;2003–2018;86 episódios;8,6
183;Jujutsu Kaisen;2020– ;48 episódios;8,6
184;Battlestar Galactica;2003;2 episódios;8,5
185;Homem de Família;2019– ;20 episódios;8,7
186;Dragon Ball;1995–2003;153 episódios;8,5
187;O Gambito da Rainha;2020;7 episódios;8,5
188;Flight of the Conchords;2007–2009;22 episódios;8,5
189;Making a Murderer;2015–2018;20 episódios;8,5
190;Endeavour;2012–2023;36 episódios;8,6
191;Coupling;2000–2004;28 episódios;8,6
192;Samurai Champloo;2004–2005;26 episódios;8,5
193;Yes, Prime Minister;1986–1987;16 episódios;8,6
194;Rocket Boys;2022– ;17 episódios;8,9
195;The IT Crowd;2006–2013;26 episódios;8,5
196;Tirando a Maior Onda;2011– ;285 episódios;8,6
197;Mr. Robot: Sociedade Hacker;2015–2019;45 episódios;8,5
198;Sol Negro;2017–2020;20 episódios;8,9
199;Ezel;2009–2011;71 episódios;8,7
200;The Eric Andre Show;2012– ;69 episódios;8,6
201;Spaced;1999–2001;14 episódios;8,5
202;I'm Alan Partridge;1997–2002;12 episódios;8,6
203;Samurai Jack;2001–2017;62 episódios;8,5
204;Em Duas Rodas com Evan McGregor;2004–2010;10 episódios;8,6
205;Mob Psycho 100;2016–2022;37 episódios;8,6
206;Detectoristas;2014–2022;20 episódios;8,6
207;Happy Valley;2014–2023;18 episódios;8,5
208;Louie;2010–2015;61 episódios;8,5
209;Whose Line Is It Anyway?;1998–2007;220 episódios;8,5
210;Spartacus;2010–2013;33 episódios;8,5
211;Através do Buraco de Minhoca;2010–2017;62 episódios;8,6
212;The Office;2001–2003;14 episódios;8,5
